"package_version","license","used_in","publisher","repository"
"@asamuzakjp/css-color@2.8.3","MIT","backend","asamuzaK","https://github.com/asamuzaK/cssColor"
"@babel/code-frame@7.25.7","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/code-frame@7.26.2","MIT","backend;extension","The Babel Team","https://github.com/babel/babel"
"@babel/generator@7.25.7","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/generator@7.26.10","MIT","extension","The Babel Team","https://github.com/babel/babel"
"@babel/helper-module-imports@7.25.7","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/helper-module-imports@7.25.9","MIT","extension","The Babel Team","https://github.com/babel/babel"
"@babel/helper-string-parser@7.25.7","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/helper-string-parser@7.25.9","MIT","extension","The Babel Team","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.25.7","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.25.9","MIT","backend;extension","The Babel Team","https://github.com/babel/babel"
"@babel/highlight@7.25.7","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/parser@7.25.8","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/parser@7.26.10","MIT","extension","The Babel Team","https://github.com/babel/babel"
"@babel/runtime@7.25.7","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/runtime@7.26.10","MIT","extension","The Babel Team","https://github.com/babel/babel"
"@babel/template@7.25.7","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/template@7.26.9","MIT","extension","The Babel Team","https://github.com/babel/babel"
"@babel/traverse@7.25.7","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/traverse@7.26.10","MIT","extension","The Babel Team","https://github.com/babel/babel"
"@babel/types@7.25.8","MIT","dashboard","The Babel Team","https://github.com/babel/babel"
"@babel/types@7.26.10","MIT","extension","The Babel Team","https://github.com/babel/babel"
"@chakra-ui/anatomy@2.2.2","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/anatomy@2.3.6","MIT","dashboard;extension","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/color-mode@2.2.0","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/hooks@2.4.4","MIT","dashboard;extension","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/icon@3.0.16","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/icons@2.0.17","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/object-utils@2.1.0","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/react-use-safe-layout-effect@2.1.0","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/react-utils@2.0.12","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/react@2.10.6","MIT","extension","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/react@2.10.7","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/shared-utils@2.0.5","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/styled-system@2.12.2","MIT","dashboard;extension","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/styled-system@2.9.2","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/system@2.6.2","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/theme-tools@2.1.2","MIT","dashboard","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
"@chakra-ui/theme-tools@2.2.8","MIT","dashboard;extension","Segun Adebayo","https://github.com/chakra-ui/chakra-ui"
